id,name,zip_format,zip_country/id
__export__.res_zip_fr-02670,02670,'00000’,base.fr
__export__.res_zip_fr-02680,02680,'00000’,base.fr
__export__.res_zip_fr-02690,02690,'00000’,base.fr
__export__.res_zip_fr-02700,02700,'00000’,base.fr
__export__.res_zip_fr-02720,02720,'00000’,base.fr
__export__.res_zip_fr-02760,02760,'00000’,base.fr
__export__.res_zip_fr-02790,02790,'00000’,base.fr
__export__.res_zip_fr-02800,02800,'00000’,base.fr
__export__.res_zip_fr-02810,02810,'00000’,base.fr
__export__.res_zip_fr-02820,02820,'00000’,base.fr
__export__.res_zip_fr-02830,02830,'00000’,base.fr
__export__.res_zip_fr-02840,02840,'00000’,base.fr
__export__.res_zip_fr-02850,02850,'00000’,base.fr
__export__.res_zip_fr-02860,02860,'00000’,base.fr
__export__.res_zip_fr-02870,02870,'00000’,base.fr
__export__.res_zip_fr-02880,02880,'00000’,base.fr
__export__.res_zip_fr-03000,03000,'00000’,base.fr
__export__.res_zip_fr-03100,03100,'00000’,base.fr
__export__.res_zip_fr-03110,03110,'00000’,base.fr
__export__.res_zip_fr-03120,03120,'00000’,base.fr
__export__.res_zip_fr-03130,03130,'00000’,base.fr
__export__.res_zip_fr-03140,03140,'00000’,base.fr
__export__.res_zip_fr-03150,03150,'00000’,base.fr
__export__.res_zip_fr-03160,03160,'00000’,base.fr
__export__.res_zip_fr-03170,03170,'00000’,base.fr
__export__.res_zip_fr-03190,03190,'00000’,base.fr
__export__.res_zip_fr-03200,03200,'00000’,base.fr
__export__.res_zip_fr-03210,03210,'00000’,base.fr
__export__.res_zip_fr-03220,03220,'00000’,base.fr
__export__.res_zip_fr-03230,03230,'00000’,base.fr
__export__.res_zip_fr-03240,03240,'00000’,base.fr
__export__.res_zip_fr-03250,03250,'00000’,base.fr
__export__.res_zip_fr-03260,03260,'00000’,base.fr
__export__.res_zip_fr-03270,03270,'00000’,base.fr
__export__.res_zip_fr-03290,03290,'00000’,base.fr
__export__.res_zip_fr-03300,03300,'00000’,base.fr
__export__.res_zip_fr-03310,03310,'00000’,base.fr
__export__.res_zip_fr-03320,03320,'00000’,base.fr
__export__.res_zip_fr-03330,03330,'00000’,base.fr
__export__.res_zip_fr-03340,03340,'00000’,base.fr
__export__.res_zip_fr-03350,03350,'00000’,base.fr
__export__.res_zip_fr-03360,03360,'00000’,base.fr
__export__.res_zip_fr-03370,03370,'00000’,base.fr
__export__.res_zip_fr-03380,03380,'00000’,base.fr
__export__.res_zip_fr-03390,03390,'00000’,base.fr
__export__.res_zip_fr-03400,03400,'00000’,base.fr
__export__.res_zip_fr-03410,03410,'00000’,base.fr
__export__.res_zip_fr-03420,03420,'00000’,base.fr
__export__.res_zip_fr-03430,03430,'00000’,base.fr
__export__.res_zip_fr-03440,03440,'00000’,base.fr
__export__.res_zip_fr-03450,03450,'00000’,base.fr
__export__.res_zip_fr-03460,03460,'00000’,base.fr
__export__.res_zip_fr-03470,03470,'00000’,base.fr
__export__.res_zip_fr-03500,03500,'00000’,base.fr
__export__.res_zip_fr-03510,03510,'00000’,base.fr
__export__.res_zip_fr-03600,03600,'00000’,base.fr
__export__.res_zip_fr-03630,03630,'00000’,base.fr
__export__.res_zip_fr-03700,03700,'00000’,base.fr
__export__.res_zip_fr-03800,03800,'00000’,base.fr
__export__.res_zip_fr-04000,04000,'00000’,base.fr
__export__.res_zip_fr-04100,04100,'00000’,base.fr
__export__.res_zip_fr-04110,04110,'00000’,base.fr
__export__.res_zip_fr-04120,04120,'00000’,base.fr
__export__.res_zip_fr-04130,04130,'00000’,base.fr
__export__.res_zip_fr-04140,04140,'00000’,base.fr
__export__.res_zip_fr-04150,04150,'00000’,base.fr
__export__.res_zip_fr-04160,04160,'00000’,base.fr
__export__.res_zip_fr-04170,04170,'00000’,base.fr
__export__.res_zip_fr-04180,04180,'00000’,base.fr
__export__.res_zip_fr-04190,04190,'00000’,base.fr
__export__.res_zip_fr-04200,04200,'00000’,base.fr
__export__.res_zip_fr-04210,04210,'00000’,base.fr
__export__.res_zip_fr-04220,04220,'00000’,base.fr
__export__.res_zip_fr-04230,04230,'00000’,base.fr
__export__.res_zip_fr-04240,04240,'00000’,base.fr
__export__.res_zip_fr-04250,04250,'00000’,base.fr
__export__.res_zip_fr-04260,04260,'00000’,base.fr
__export__.res_zip_fr-04270,04270,'00000’,base.fr
__export__.res_zip_fr-04280,04280,'00000’,base.fr
__export__.res_zip_fr-04290,04290,'00000’,base.fr
__export__.res_zip_fr-04300,04300,'00000’,base.fr
__export__.res_zip_fr-04310,04310,'00000’,base.fr
__export__.res_zip_fr-04320,04320,'00000’,base.fr
__export__.res_zip_fr-04330,04330,'00000’,base.fr
__export__.res_zip_fr-04340,04340,'00000’,base.fr
__export__.res_zip_fr-04350,04350,'00000’,base.fr
__export__.res_zip_fr-04360,04360,'00000’,base.fr
__export__.res_zip_fr-04370,04370,'00000’,base.fr
__export__.res_zip_fr-04380,04380,'00000’,base.fr
__export__.res_zip_fr-04400,04400,'00000’,base.fr
__export__.res_zip_fr-04410,04410,'00000’,base.fr
__export__.res_zip_fr-04420,04420,'00000’,base.fr
__export__.res_zip_fr-04500,04500,'00000’,base.fr
__export__.res_zip_fr-04510,04510,'00000’,base.fr
__export__.res_zip_fr-04530,04530,'00000’,base.fr
__export__.res_zip_fr-04600,04600,'00000’,base.fr
__export__.res_zip_fr-04660,04660,'00000’,base.fr
__export__.res_zip_fr-04700,04700,'00000’,base.fr
__export__.res_zip_fr-04800,04800,'00000’,base.fr
__export__.res_zip_fr-04850,04850,'00000’,base.fr
__export__.res_zip_fr-04860,04860,'00000’,base.fr
__export__.res_zip_fr-04870,04870,'00000’,base.fr
__export__.res_zip_fr-05000,05000,'00000’,base.fr
__export__.res_zip_fr-05100,05100,'00000’,base.fr
__export__.res_zip_fr-05110,05110,'00000’,base.fr
__export__.res_zip_fr-05120,05120,'00000’,base.fr
__export__.res_zip_fr-05130,05130,'00000’,base.fr
__export__.res_zip_fr-05140,05140,'00000’,base.fr
__export__.res_zip_fr-05150,05150,'00000’,base.fr
__export__.res_zip_fr-05160,05160,'00000’,base.fr
__export__.res_zip_fr-05170,05170,'00000’,base.fr
__export__.res_zip_fr-05190,05190,'00000’,base.fr
__export__.res_zip_fr-05200,05200,'00000’,base.fr
__export__.res_zip_fr-05220,05220,'00000’,base.fr
__export__.res_zip_fr-05230,05230,'00000’,base.fr
__export__.res_zip_fr-05240,05240,'00000’,base.fr
__export__.res_zip_fr-05250,05250,'00000’,base.fr
__export__.res_zip_fr-05260,05260,'00000’,base.fr
__export__.res_zip_fr-05290,05290,'00000’,base.fr
__export__.res_zip_fr-05300,05300,'00000’,base.fr
__export__.res_zip_fr-05310,05310,'00000’,base.fr
__export__.res_zip_fr-05320,05320,'00000’,base.fr
__export__.res_zip_fr-05330,05330,'00000’,base.fr
__export__.res_zip_fr-05340,05340,'00000’,base.fr
__export__.res_zip_fr-05350,05350,'00000’,base.fr
__export__.res_zip_fr-05380,05380,'00000’,base.fr
__export__.res_zip_fr-05400,05400,'00000’,base.fr
__export__.res_zip_fr-05460,05460,'00000’,base.fr
__export__.res_zip_fr-05470,05470,'00000’,base.fr
__export__.res_zip_fr-05480,05480,'00000’,base.fr
__export__.res_zip_fr-05500,05500,'00000’,base.fr
__export__.res_zip_fr-05560,05560,'00000’,base.fr
__export__.res_zip_fr-05600,05600,'00000’,base.fr
__export__.res_zip_fr-05700,05700,'00000’,base.fr
__export__.res_zip_fr-05800,05800,'00000’,base.fr
__export__.res_zip_fr-06000,06000,'00000’,base.fr
__export__.res_zip_fr-06100,06100,'00000’,base.fr
__export__.res_zip_fr-06110,06110,'00000’,base.fr
__export__.res_zip_fr-06130,06130,'00000’,base.fr
__export__.res_zip_fr-06140,06140,'00000’,base.fr
__export__.res_zip_fr-06150,06150,'00000’,base.fr
__export__.res_zip_fr-06160,06160,'00000’,base.fr
__export__.res_zip_fr-06190,06190,'00000’,base.fr
__export__.res_zip_fr-06200,06200,'00000’,base.fr
__export__.res_zip_fr-06210,06210,'00000’,base.fr
__export__.res_zip_fr-06220,06220,'00000’,base.fr
__export__.res_zip_fr-06230,06230,'00000’,base.fr
__export__.res_zip_fr-06240,06240,'00000’,base.fr
__export__.res_zip_fr-06250,06250,'00000’,base.fr
__export__.res_zip_fr-06260,06260,'00000’,base.fr
__export__.res_zip_fr-06270,06270,'00000’,base.fr
__export__.res_zip_fr-06300,06300,'00000’,base.fr
__export__.res_zip_fr-06310,06310,'00000’,base.fr
__export__.res_zip_fr-06320,06320,'00000’,base.fr
__export__.res_zip_fr-06330,06330,'00000’,base.fr
__export__.res_zip_fr-06340,06340,'00000’,base.fr
__export__.res_zip_fr-06360,06360,'00000’,base.fr
__export__.res_zip_fr-06370,06370,'00000’,base.fr
__export__.res_zip_fr-06380,06380,'00000’,base.fr
__export__.res_zip_fr-06390,06390,'00000’,base.fr
__export__.res_zip_fr-06400,06400,'00000’,base.fr
__export__.res_zip_fr-06410,06410,'00000’,base.fr
__export__.res_zip_fr-06420,06420,'00000’,base.fr
__export__.res_zip_fr-06430,06430,'00000’,base.fr
